B/13/P

F/20/P
F/70/P

G/39/P
G/2/S
G/40/S
G/46/S

C/13/S

E/15/S


,0,1
0,G/2/S,"16,15"
1,F/20/P,"143,137"
2,G/39/P,"327,315"
3,E/15/S,"356,331"
4,G/40/S,"414,404"
5,G/46/S,"443,412"
6,F/70/P,"445,421"
7,B/13/P,"446,440"
8,C/13/S,"447,444"
9,G/49/S,"495,492"
10,E/21/P,"518,"
11,B/12/S,"604,"
12,G/73/P,"667,"
13,E/30/S,"704,"
14,G/75/S,"717,"
15,G/79/S,"771,"
16,F/106/S,"811,"
17,B/30/P,"1018,"
18,F/152/P,"1043,"
19,G/110/S,"1056,"
20,F/157/S,"1176,"
21,G/121/P,"1187,"
22,E/49/P,"1245,"
23,F/181/P,"1254,"
24,C/35/S,"1265,"
25,F/170/S,"1324,"
26,G/151/P,"1444,"
27,E/58/P,"1494,"
28,D/36/S,"1546,"
29,C/40/S,"1555,"
30,F/213/S,"1582,"
31,E/65/P,"1611,"
32,G/171/P,"1612,"
33,F/230/S,"1720,"
34,F/235/S,"1767,"
35,E/81/P,"1853,"
36,F/293/P,"2149,"
37,F/300/S,"2224,"
38,F/307/P,"2252,"
39,F/320/P,"2312,"
40,G/257/S,"2362,"
41,G/273/P,"2426,"
42,E/104/P,"2455,"
43,G/267/S,"2482,"
44,G/280/S,"2539,"
45,F/350/S,"2596,"
46,C/67/P,"2904,"
47,G/334/S,"2988,"
48,G/338/S,"3000,"
49,B/88/S,"3041,"
50,G/345/P,"3042,"
51,F/441/P,"3102,"
52,G/356/S,"3125,"
53,D/69/P,"3309,"
54,G/399/S,"3483,"
55,E/174/S,"3490,"
56,F/515/P,"3513,"
57,E/150/P,"3539,"
58,F/519/P,"3540,"
59,G/406/S,"3571,"
60,E/154/P,"3600,"
61,G/422/P,"3660,"
62,F/559/P,"3798,"
63,E/161/P,"3802,"
64,F/542/S,"3990,"
65,F/551/S,"4066,"
66,F/610/P,"4090,"
67,F/563/S,"4147,"
68,B/99/P,"4260,"
69,E/207/S,"4393,"
70,G/515/P,"4399,"
71,G/534/S,"4673,"
72,F/636/S,"4704,"
73,D/111/S,"4947,"
74,F/674/S,"4986,"
75,D/113/S,"4987,"
76,G/579/S,"5018,"
77,G/590/P,"5019,"
78,F/772/P,"5238,"
79,E/221/P,"5272,"
80,F/788/P,"5344,"
81,F/791/P,"5368,"
82,G/649/S,"5550,"
83,F/820/P,"5571,"
84,B/151/S,"5587,"
85,F/830/P,"5634,"
86,F/849/P,"5793,"
87,E/257/P,"5797,"
88,D/139/P,"5826,"
89,G/684/S,"5867,"
90,B/137/P,"6021,"
91,F/891/P,"6023,"
92,C/138/P,"6132,"
93,E/277/P,"6155,"
94,F/827/S,"6156,"
95,G/723/P,"6161,"
96,G/726/S,"6235,"
97,G/759/S,"6501,"
98,E/301/S,"6515,"
99,G/766/S,"6568,"
100,G/775/P,"6747,"
101,G/786/S,"6751,"
102,F/923/S,"6824,"
103,F/944/S,"6957,"
104,C/193/S,"7004,"
105,G/821/S,"7013,"
106,G/829/S,"7076,"
107,G/831/S,"7127,"
108,G/824/P,"7137,"
109,G/859/S,"7368,"
110,F/1093/P,"7435,"
111,E/344/S,"7538,"
112,F/1122/P,"7585,"
113,G/874/S,"7588,"
114,G/876/S,"7628,"
115,G/878/S,"7634,"
116,E/345/P,"7679,"
117,D/178/P,"7803,"
118,F/1178/P,"7925,"
119,C/214/S,"7949,"
120,G/943/P,"8122,"
121,F/1237/P,"8380,"
122,E/387/P,"8468,"
123,D/191/P,"8513,"
124,F/1295/P,"8746,"
125,D/200/P,"8981,"
126,G/1041/S,"9007,"
127,D/194/S,"9054,"
128,G/1053/P,"9126,"
129,G/1062/S,"9157,"
130,E/414/P,"9164,"
131,F/1267/S,"9270,"
132,G/1085/S,"9317,"
133,F/1392/P,"9387,"
134,E/448/S,"9548,"
135,D/216/P,"9692,"
136,G/1118/P,"9724,"
137,G/1130/P,"9828,"
138,D/212/S,"9841,"
139,G/1134/P,"9878,"
140,F/1365/S,"10000,"
141,G/1164/S,"10015,"
142,F/1376/S,"10061,"
143,G/1157/P,"10088,"
144,F/1489/P,"10094,"
145,G/1178/S,"10147,"
146,F/1401/S,"10198,"
147,C/270/S,"10349,"
148,G/1200/S,"10367,"
149,G/1206/S,"10412,"
150,F/1424/S,"10437,"
151,G/1212/S,"10441,"
152,F/1544/P,"10448,"
153,C/277/S,"10474,"
154,D/235/P,"10575,"
155,E/501/P,"10790,"
156,C/290/S,"10848,"
157,G/1252/P,"10879,"
158,F/1492/S,"10886,"
159,F/1628/P,"10939,"
160,G/1272/S,"10994,"
161,G/1283/P,"11065,"
162,G/1282/S,"11083,"
163,G/1286/P,"11084,"
164,C/298/S,"11151,"
165,E/528/S,"11171,"
166,F/1571/S,"11472,"
167,F/1585/S,"11530,"
168,F/1596/S,"11584,"
169,G/1366/P,"11682,"
170,B/328/S,"11708,"
171,F/1623/S,"11760,"
172,E/541/P,"11805,"
173,F/1739/P,"11837,"
174,G/1385/S,"12003,"
175,F/1769/P,"12029,"
176,G/1445/P,"12441,"
177,D/281/P,"12548,"
178,G/1447/S,"12549,"
179,D/275/S,"12656,"
180,G/1474/P,"12688,"
181,A/94/P,"12704,"
182,D/292/P,"12779,"
183,F/1785/S,"12894,"
184,F/1889/P,"12920,"
185,G/1506/P,"12957,"
